sample,concentration,units,ratio
plasma,2,ul,0.783
plasma,2,ul,0.767
plasma,2,ul,0.786
plasma,4,ul,0.672
plasma,4,ul,0.703
plasma,4,ul,0.712
plasma,8,ul,0.573
plasma,8,ul,0.582
plasma,8,ul,0.573
ApoB_dep,2,ul,0.802
ApoB_dep,2,ul,0.795
ApoB_dep,2,ul,0.831
ApoB_dep,4,ul,0.699
ApoB_dep,4,ul,0.7
ApoB_dep,4,ul,0.698
ApoB_dep,8,ul,0.61
ApoB_dep,8,ul,0.607
ApoB_dep,8,ul,0.618
HDL,2.5,ug,0.931
HDL,2.5,ug,0.927
HDL,2.5,ug,0.946
HDL,5,ug,0.879
HDL,5,ug,0.888
HDL,5,ug,0.907
HDL,10,ug,0.823
HDL,10,ug,0.828
HDL,10,ug,0.806
HDL,15,ug,0.795
HDL,15,ug,0.8
HDL,15,ug,0.833
HDL,20,ug,0.772
HDL,20,ug,0.767
HDL,20,ug,0.755
HDL,25,ug,0.742
HDL,25,ug,0.764
HDL,25,ug,0.776
